x0	x1	OP1	OP2	Reloj	z0	z1	z2	z3	y
0	0	0	0	1	0	0	1	1	0
0	1	0	0	1	0	1	1	0	0
1	1	0	0	1	1	1	0	0	0
1	1	0	0	0	1	1	0	0	1
1	1	0	0	1	1	1	0	0	1
1	0	0	0	1	0	1	1	0	1
0	0	0	0	1	0	0	1	1	1
0	0	0	1	1	0	0	1	1	1
0	0	0	1	0	0	0	1	1	0
0	0	0	1	1	0	0	1	1	0
0	1	0	1	1	0	1	1	0	0
0	1	0	1	0	0	1	1	0	1
0	1	0	1	1	0	1	1	0	1
0	0	0	1	1	0	0	1	1	1
1	0	0	1	1	0	1	1	0	1
1	0	1	1	1	0	1	1	0	1
1	0	1	0	1	0	1	1	0	1
1	0	1	0	0	0	1	1	0	1
1	0	1	0	1	0	1	1	0	1
1	1	1	0	1	1	1	0	0	1
1	1	1	0	0	1	1	0	0	0
1	1	1	0	1	1	1	0	0	0
0	1	1	0	1	0	1	1	0	0
0	1	1	1	1	0	1	1	0	0
0	1	1	1	0	0	1	1	0	0
0	1	1	1	1	0	1	1	0	0
0	0	1	1	1	0	0	1	1	0
0	0	1	1	0	0	0	1	1	1
0	0	1	1	1	0	0	1	1	1
