Clock(590,220)	x0	x1	OP0	OP1	z
0	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	0
0	0	1	0	0	0
1	0	1	0	0	0
0	0	1	0	0	0
0	0	0	0	0	0
0	1	0	0	0	0
1	1	0	0	0	0
0	1	0	0	0	0
0	1	1	0	0	0
1	1	1	0	0	0
0	1	1	0	0	1
0	1	1	0	1	1
0	1	0	0	1	1
0	0	0	0	1	1
1	0	0	0	1	1
0	0	0	0	1	0
0	0	1	0	1	0
1	0	1	0	1	0
0	0	1	0	1	1
0	0	0	0	1	1
0	1	0	0	1	1
1	1	0	0	1	1
0	1	0	0	1	1
0	1	1	0	1	1
1	1	1	0	1	1
0	1	1	0	1	1
0	1	1	1	1	1
0	1	1	1	0	1
0	1	0	1	0	1
0	0	0	1	0	1
1	0	0	1	0	1
0	0	0	1	0	1
0	0	1	1	0	1
1	0	1	1	0	1
0	0	1	1	0	1
0	0	0	1	0	1
0	1	0	1	0	1
1	1	0	1	0	1
0	1	0	1	0	1
0	1	1	1	0	1
1	1	1	1	0	1
0	1	1	1	0	0
0	1	1	1	1	0
0	1	0	1	1	0
0	0	0	1	1	0
1	0	0	1	1	0
0	0	0	1	1	1
0	0	1	1	1	1
1	0	1	1	1	1
0	0	1	1	1	0
0	0	0	1	1	0
0	1	0	1	1	0
1	1	0	1	1	0
0	1	0	1	1	0
0	1	1	1	1	0
1	1	1	1	1	0
0	1	1	1	1	0
